Cross Semivariogram     tail:Ag           head:Ag            direction  1 
   1        1.000       .03526   111890         .00654         .00572
   2        2.000       .06981   111555         .00727         .00542
   3        3.000       .10450   111220         .00804         .00499
   4        4.000       .13987   110885         .00904         .00447
   5        5.000       .17539   110550         .01012         .00386
   6        6.000       .21118   110215         .01124         .00304
   7        7.000       .24697   109880         .01247         .00202
   8        8.000       .28253   109545         .01378         .00086
   9        9.000       .31701   109210         .01529        -.00037
  10       10.000       .35095   108875         .01697        -.00168
  11       11.000       .38376   108540         .01882        -.00298
  12       12.000       .41555   108205         .02078        -.00424
  13       13.000       .44628   107870         .02290        -.00541
  14       14.000       .47578   107535         .02523        -.00663
  15       15.000       .50486   107200         .02778        -.00773
  16       16.000       .53251   106865         .03050        -.00870
  17       17.000       .55930   106530         .03311        -.00960
  18       18.000       .58519   106195         .03571        -.01040
  19       19.000       .61060   105860         .03828        -.01125
  20       20.000       .63504   105525         .04084        -.01203
  21       21.000       .65865   105190         .04350        -.01268
  22       22.000       .68177   104855         .04611        -.01327
  23       23.000       .70347   104520         .04860        -.01376
  24       24.000       .72432   104185         .05112        -.01413
  25       25.000       .74394   103850         .05360        -.01445
  26       26.000       .76275   103515         .05609        -.01476
  27       27.000       .78096   103180         .05866        -.01501
  28       28.000       .79782   102845         .06130        -.01518
  29       29.000       .81367   102510         .06397        -.01514
  30       30.000       .82871   102175         .06673        -.01482
  31       31.000       .84349   101840         .06965        -.01448
  32       32.000       .85723   101505         .07274        -.01405
  33       33.000       .86984   101170         .07587        -.01362
  34       34.000       .88191   100835         .07906        -.01309
  35       35.000       .89328   100500         .08233        -.01256
  36       36.000       .90447   100165         .08556        -.01207
  37       37.000       .91460    99830         .08882        -.01155
  38       38.000       .92359    99495         .09227        -.01091
  39       39.000       .93182    99160         .09578        -.01031
  40       40.000       .93886    98825         .09914        -.00966
  41       41.000       .94487    98490         .10238        -.00895
  42       42.000       .94996    98155         .10558        -.00816
  43       43.000       .95481    97820         .10861        -.00717
  44       44.000       .95926    97485         .11142        -.00613
  45       45.000       .96310    97150         .11412        -.00505
  46       46.000       .96643    96815         .11671        -.00389
  47       47.000       .96885    96480         .11909        -.00278
  48       48.000       .97116    96145         .12119        -.00184
  49       49.000       .97344    95810         .12294        -.00096
  50       50.000       .97569    95475         .12439        -.00013
  51       51.000       .97756    95140         .12565         .00053
  52       52.000       .97952    94805         .12668         .00112
  53       53.000       .98097    94470         .12735         .00152
  54       54.000       .98239    94135         .12782         .00183
  55       55.000       .98347    93800         .12818         .00214
  56       56.000       .98433    93465         .12840         .00247
  57       57.000       .98528    93130         .12846         .00292
  58       58.000       .98595    92795         .12840         .00336
  59       59.000       .98600    92460         .12821         .00379
  60       60.000       .98526    92125         .12790         .00421
  61       61.000       .98360    91790         .12752         .00469
  62       62.000       .98071    91455         .12706         .00508
  63       63.000       .97744    91120         .12651         .00550
  64       64.000       .97295    90785         .12574         .00593
  65       65.000       .96743    90450         .12485         .00626
  66       66.000       .96069    90115         .12378         .00661
  67       67.000       .95414    89780         .12262         .00705
  68       68.000       .94711    89445         .12152         .00752
  69       69.000       .93973    89110         .12037         .00784
  70       70.000       .93243    88775         .11923         .00801
  71       71.000       .92525    88440         .11809         .00796
  72       72.000       .91806    88105         .11681         .00777
  73       73.000       .91133    87770         .11538         .00766
  74       74.000       .90490    87435         .11380         .00758
  75       75.000       .89894    87100         .11216         .00752
  76       76.000       .89332    86765         .11054         .00723
  77       77.000       .88744    86430         .10891         .00668
  78       78.000       .88152    86095         .10734         .00612
  79       79.000       .87571    85760         .10590         .00544
  80       80.000       .86987    85425         .10464         .00465
  81       81.000       .86437    85090         .10338         .00377
  82       82.000       .85921    84755         .10211         .00286
  83       83.000       .85459    84420         .10098         .00173
  84       84.000       .85070    84085         .10003         .00039
  85       85.000       .84766    83750         .09919        -.00106
  86       86.000       .84513    83415         .09857        -.00263
  87       87.000       .84312    83080         .09807        -.00431
  88       88.000       .84191    82745         .09762        -.00603
  89       89.000       .84140    82410         .09752        -.00774
  90       90.000       .84158    82075         .09769        -.00932
  91       91.000       .84166    81740         .09807        -.01083
  92       92.000       .84160    81405         .09860        -.01216
  93       93.000       .84154    81070         .09921        -.01342
  94       94.000       .84163    80735         .09989        -.01466
  95       95.000       .84193    80400         .10062        -.01591
  96       96.000       .84244    80065         .10117        -.01706
  97       97.000       .84275    79730         .10164        -.01811
  98       98.000       .84297    79395         .10224        -.01907
  99       99.000       .84362    79060         .10274        -.02007
 100      100.000       .84455    78725         .10318        -.02115
Cross Semivariogram     tail:Ag           head:Al            direction  1 
   1        1.000      -.00001   111890         .00654        -.11144
   2        2.000       .00043   111555         .00727        -.11135
   3        3.000       .00130   111220         .00804        -.11131
   4        4.000       .00252   110885         .00904        -.11139
   5        5.000       .00394   110550         .01012        -.11149
   6        6.000       .00546   110215         .01124        -.11168
   7        7.000       .00702   109880         .01247        -.11188
   8        8.000       .00884   109545         .01378        -.11208
   9        9.000       .01096   109210         .01529        -.11235
  10       10.000       .01317   108875         .01697        -.11263
  11       11.000       .01528   108540         .01882        -.11289
